QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20181,03640514,20,0,1,1,D,,H,,A
20181,03640514,20,1,1,,A,120,E,100,D
20181,03640514,20,2,1,,A,95,E,110,D
20181,03640514,20,3,1,,A,69,E,120,D
20181,03640514,20,4,1,,A,289,E,130,D
20181,03640514,20,5,1,,A,29,E,140,D
20181,03640514,20,6,1,,A,334,E,150,D
20181,03640514,20,7,1,,A,64,E,190,D
20181,03641474,57,0,1,1,D,,H,,A
20181,03641474,57,1,1,,A,205,E,100,D
20181,03641474,57,2,1,,A,60,E,110,D
20181,03642434,23,0,1,1,D,,H,,A
20181,03642434,23,1,1,,A,12,E,120,D
20181,03642434,23,2,1,,A,6,E,140,D
20181,03642434,23,3,1,,A,342,E,150,D
20181,03642774,20,0,1,1,D,,H,,A
20181,03642774,20,1,1,,A,134,E,100,D
20181,03642774,20,2,1,,A,107,E,110,D
20181,03642774,20,3,1,,A,78,E,120,D
20181,03642774,20,4,1,,A,33,E,140,D
20181,03642774,20,5,1,,A,375,E,150,D
20181,03642774,20,6,1,,A,73,E,190,D
20181,03643234,46,0,1,1,D,,H,,A
20181,03643234,46,1,1,,A,9,E,200,D
20181,03643234,46,2,1,,A,12,E,210,D
20181,03643234,46,3,1,,A,4,E,220,D
20181,03645234,10,0,1,1,D,,H,,A
20181,03645234,10,1,1,,A,41,E,120,D
20181,03645234,10,2,1,,A,13,E,140,D
20181,03645234,10,3,1,,A,262,E,150,D
20181,03645234,10,4,1,,A,134,E,160,D
20181,03645234,10,5,1,,A,52,E,180,D
20181,03645234,10,6,1,,A,58,E,190,D
20181,03645624,32,0,1,1,D,,H,,A
20181,03645624,32,1,1,,A,41,E,100,D
20181,03645624,32,2,1,,A,33,E,110,D
20181,03645624,32,3,1,,A,24,E,120,D
20181,03645624,32,4,1,,A,10,E,140,D
20181,03645624,32,5,1,,A,120,E,150,D
20181,03645624,32,6,1,,A,22,E,190,D
20181,03646174,67,0,1,1,D,,H,,A
20181,03646174,67,1,1,,A,201,E,130,D
20181,03646174,67,2,1,,A,42,E,200,D
20181,03646174,67,3,1,,A,80,E,210,D
20181,03646174,67,4,1,,A,9,E,220,D
20181,03646184,32,0,1,1,D,,H,,A
20181,03646184,32,1,1,,A,166,E,200,D
20181,03646184,32,2,1,,A,297,E,210,D
20181,03646184,32,3,1,,A,37,E,220,D
20181,03646554,72,0,1,2,D,,H,,A
20181,03646554,72,1,1,,A,10,E,120,D
20181,03646554,72,2,1,,A,2,E,140,D
20181,03646554,72,3,1,,A,68,E,150,D
20181,03646554,72,4,1,,A,33,E,160,D
20181,03646554,72,5,1,,A,13,E,180,D
20181,03646554,72,6,1,,A,14,E,190,D
20181,03647274,47,0,1,2,D,,H,,A
20181,03647274,47,1,1,,A,62,E,100,D
20181,03647274,47,2,1,,A,18,E,110,D
20181,03647274,47,3,1,,A,97,E,130,D
20181,03647734,33,0,1,1,D,,H,,A
20181,03647734,33,1,1,,A,193,E,100,D
20181,03647734,33,2,1,,A,57,E,110,D
20181,03649054,71,0,1,1,D,,H,,A
20181,03649054,71,1,1,,A,23,E,100,D
20181,03649054,71,2,1,,A,10,E,110,D
20181,03649054,71,3,1,,A,15,E,200,D
20181,03649054,71,4,1,,A,12,E,210,D
20181,03649054,71,5,1,,A,15,E,220,D
20181,03649864,77,0,1,1,D,,H,,A
20181,03649864,77,1,1,,A,19,E,100,D
20181,03649864,77,2,1,,A,9,E,110,D
20181,03649864,77,3,1,,A,13,E,120,D
20181,03649864,77,4,1,,A,3,E,140,D
20181,03649864,77,5,1,,A,81,E,150,D
20181,03649864,77,6,1,,A,41,E,160,D
20181,03649864,77,7,1,,A,16,E,180,D
20181,03649864,77,8,1,,A,18,E,190,D
20181,03651984,32,0,1,1,D,,H,,A
20181,03651984,32,1,1,,A,232,E,100,D
20181,03651984,32,2,1,,A,42,E,110,D
20181,03651984,32,3,1,,A,526,E,130,D
20181,03652794,22,0,1,3,D,,H,,A
20181,03652794,22,1,1,,A,12,E,200,D
20181,03652794,22,2,1,,A,8,E,210,D
20181,03652794,22,3,1,,A,10,E,220,D
20181,03652974,52,0,1,1,D,,H,,A
20181,03652974,52,1,1,,A,31,E,100,D
20181,03652974,52,2,1,,A,9,E,110,D
20181,03653364,22,0,1,1,D,,H,,A
20181,03653364,22,1,1,,A,59,E,100,D
20181,03653364,22,2,1,,A,17,E,110,D
20181,03653364,22,3,1,,A,43,E,120,D
20181,03653364,22,4,1,,A,9,E,140,D
20181,03653364,22,5,1,,A,244,E,150,D
20181,03653364,22,6,1,,A,125,E,160,D
20181,03653364,22,7,1,,A,48,E,180,D
20181,03653364,22,8,1,,A,55,E,190,D
20181,03654644,27,0,1,1,D,,H,,A
20181,03654644,27,1,1,,A,777,E,100,D
20181,03654644,27,2,1,,A,142,E,110,D
20181,03654644,27,3,1,,A,216,E,120,D
20181,03654644,27,4,1,,A,1756,E,130,D
20181,03654644,27,5,1,,A,14,E,140,D
20181,03654644,27,6,1,,A,1727,E,150,D
20181,03654644,27,7,1,,A,115,E,160,D
20181,03654644,27,8,1,,A,253,E,190,D
20181,03655524,58,0,1,1,D,,H,,A
20181,03655524,58,1,1,,A,73,E,200,D
20181,03655524,58,2,1,,A,77,E,210,D
20181,03656284,38,0,1,1,D,,H,,A
20181,03656284,38,1,1,,A,5,E,100,D
20181,03656284,38,2,1,,A,1,E,110,D
20181,03656284,38,3,1,,A,10,E,200,D
20181,03656284,38,4,1,,A,8,E,210,D
20181,03656284,38,5,1,,A,1,E,220,D
20181,03656414,43,0,1,1,D,,H,,A
20181,03656414,43,1,1,,A,239,E,100,D
20181,03656414,43,2,1,,A,47,E,110,D
20181,03656414,43,3,1,,A,66,E,120,D
20181,03656414,43,4,1,,A,4,E,140,D
20181,03656414,43,5,1,,A,532,E,150,D
20181,03656414,43,6,1,,A,35,E,160,D
20181,03656414,43,7,1,,A,77,E,190,D
20181,03656594,14,0,1,1,D,,H,,A
20181,03656594,14,1,1,,A,99,E,100,D
20181,03656594,14,2,1,,A,29,E,110,D
20181,03656594,14,3,1,,A,65,E,120,D
20181,03656594,14,4,1,,A,16,E,140,D
20181,03656594,14,5,1,,A,410,E,150,D
20181,03656594,14,6,1,,A,209,E,160,D
20181,03656594,14,7,1,,A,81,E,180,D
20181,03656594,14,8,1,,A,91,E,190,D
20181,03656864,37,0,1,1,D,,H,,A
20181,03656864,37,1,1,,A,49,E,100,D
20181,03656864,37,2,1,,A,40,E,110,D
20181,03656864,37,3,1,,A,32,E,120,D
20181,03656864,37,4,1,,A,12,E,140,D
20181,03656864,37,5,1,,A,140,E,150,D
20181,03656864,37,6,1,,A,27,E,190,D
20181,03657154,59,0,1,1,D,,H,,A
20181,03657154,59,1,1,,A,17,E,100,D
20181,03657154,59,2,1,,A,6,E,110,D
20181,03657154,59,3,1,,A,26,E,130,D
20181,03657924,58,0,1,2,D,,H,,A
20181,03657924,58,1,1,,A,23,E,100,D
20181,03657924,58,2,1,,A,3,E,110,D
20181,03657924,58,3,1,,A,4,E,120,D
20181,03657924,58,4,1,,A,39,E,150,D
20181,03657924,58,5,1,,A,2,E,160,D
20181,03657924,58,6,1,,A,5,E,190,D
20181,03657924,58,7,1,,A,8,E,200,D
20181,03657924,58,8,1,,A,15,E,210,D
20181,03657924,58,9,1,,A,1,E,220,D
20181,03658664,59,0,1,1,D,,H,,A
20181,03658664,59,1,1,,A,17,E,120,D
20181,03658664,59,2,1,,A,73,E,130,D
20181,03658664,59,3,1,,A,7,E,140,D
20181,03658664,59,4,1,,A,87,E,150,D
20181,03658664,59,5,1,,A,16,E,190,D
20181,03661984,20,0,1,1,D,,H,,A
20181,03661984,20,1,1,,A,710,E,100,D
20181,03661984,20,2,1,,A,210,E,110,D
20181,03661984,20,3,1,,A,1080,E,130,D
20181,03662004,26,0,1,2,D,,H,,A
20181,03662004,26,1,1,,A,1088,E,100,D
20181,03662004,26,2,1,,A,203,E,110,D
20181,03662004,26,3,1,,A,302,E,120,D
20181,03662004,26,4,1,,A,2514,U,130,D
20181,03662004,26,5,1,,A,20,E,140,D
20181,03662004,26,6,1,,A,2418,E,150,D
20181,03662004,26,7,1,,A,161,E,160,D
20181,03662004,26,8,1,,A,349,E,190,D
20181,03662074,55,0,1,1,D,,H,,A
20181,03662074,55,1,1,,A,165,E,100,D
20181,03662074,55,2,1,,A,48,E,110,D
20181,03662074,55,3,1,,A,85,E,200,D
20181,03662074,55,4,1,,A,148,E,210,D
20181,03662074,55,5,1,,A,54,E,220,D
20181,03662214,57,0,1,1,D,,H,,A
20181,03662214,57,1,1,,A,61,E,100,D
20181,03662214,57,2,1,,A,28,E,110,D
20181,03662214,57,3,1,,A,42,E,200,D
20181,03662214,57,4,1,,A,34,E,210,D
20181,03662214,57,5,1,,A,45,E,220,D
20181,03664054,34,0,1,1,D,,H,,A
20181,03664054,34,1,1,,A,44,E,100,D
20181,03664054,34,2,1,,A,8,E,110,D
20181,03664054,34,3,1,,A,98,E,130,D
20181,03664274,36,0,1,1,D,,H,,A
20181,03664274,36,1,1,,A,118,E,100,D
20181,03664274,36,2,1,,A,94,E,110,D
20181,03664274,36,3,1,,A,68,E,120,D
20181,03664274,36,4,1,,A,29,E,140,D
20181,03664274,36,5,1,,A,328,E,150,D
20181,03664274,36,6,1,,A,63,E,190,D
20181,03665014,34,0,1,1,D,,H,,A
20181,03665014,34,1,1,,A,69,E,100,D
20181,03665014,34,2,1,,A,27,E,200,D
20181,03665014,34,3,1,,A,54,E,210,D
20181,03665294,31,0,1,1,D,,H,,A
20181,03665294,31,1,1,,A,4,E,120,D
20181,03665294,31,2,1,,A,10,E,150,D
20181,03665294,31,3,1,,A,1,E,190,D
20181,03665894,45,0,1,1,D,,H,,A
20181,03665894,45,1,1,,A,621,E,100,D
20181,03665894,45,2,1,,A,118,E,110,D
20181,03665894,45,3,1,,A,173,E,120,D
20181,03665894,45,4,1,,A,1405,E,130,D
20181,03665894,45,5,1,,A,11,E,140,D
20181,03665894,45,6,1,,A,1381,E,150,D
20181,03665894,45,7,1,,A,92,E,160,D
20181,03665894,45,8,1,,A,199,E,190,D
20181,03666054,28,0,1,1,D,,H,,A
20181,03666054,28,1,1,,A,67,E,100,D
20181,03666054,28,2,1,,A,17,E,110,D
20181,03666054,28,3,1,,A,38,E,120,D
20181,03666054,28,4,1,,A,9,E,140,D
20181,03666054,28,5,1,,A,243,E,150,D
20181,03666054,28,6,1,,A,124,E,160,D
20181,03666054,28,7,1,,A,48,E,180,D
20181,03666054,28,8,1,,A,54,E,190,D
20181,03666054,28,9,1,,A,30,E,200,D
20181,03666054,28,10,1,,A,51,E,210,D
20181,03666054,28,11,1,,A,19,E,220,D
20181,03666114,19,0,1,1,D,,H,,A
20181,03666114,19,1,1,,A,8,E,100,D
20181,03666114,19,2,1,,A,5,E,110,D
20181,03666114,19,3,1,,A,4,E,120,D
20181,03666114,19,4,1,,A,4,E,140,D
20181,03666114,19,5,1,,A,42,E,150,D
20181,03666114,19,6,1,,A,5,E,170,D
20181,03666114,19,7,1,,A,3,E,190,D
20181,03666114,19,8,1,,A,29,E,200,D
20181,03666114,19,9,1,,A,23,E,210,D
20181,03666114,19,10,1,,A,2,E,220,D
20181,03666864,44,0,1,4,D,,H,,A
20181,03666864,44,1,1,,A,9,E,200,D
20181,03666864,44,2,1,,A,19,E,210,D
20181,03666864,44,3,1,,A,2,E,220,D
20181,03667444,36,0,1,1,D,,H,,A
20181,03667444,36,1,1,,A,309,E,100,D
20181,03667444,36,2,1,,A,91,E,110,D
20181,03667784,59,0,1,3,D,,H,,A
20181,03667784,59,1,1,,A,699,E,100,D
20181,03667784,59,2,1,,A,133,E,110,D
20181,03667784,59,3,1,,A,194,E,120,D
20181,03667784,59,4,1,,A,1581,E,130,D
20181,03667784,59,5,1,,A,12,E,140,D
20181,03667784,59,6,1,,A,1554,E,150,D
20181,03667784,59,7,1,,A,103,E,160,D
20181,03667784,59,8,1,,A,224,E,190,D
20181,03670554,49,0,1,1,D,,H,,A
20181,03670554,49,1,1,,A,10,E,100,D
20181,03670554,49,2,1,,A,1,E,110,D
20181,03670554,49,3,1,,A,3,E,120,D
20181,03670554,49,4,1,,A,27,E,150,D
20181,03670554,49,5,1,,A,1,E,160,D
20181,03670554,49,6,1,,A,3,E,190,D
20181,03692363,22,0,1,1,D,,H,,A
20181,03692363,22,1,1,,A,258,G,100,D
20181,03692363,22,2,1,,A,76,G,110,D
20181,03692363,22,3,1,,A,169,G,120,D
20181,03692363,22,4,1,,A,393,G,130,D
20181,03692363,22,5,1,,A,42,G,140,D
20181,03692363,22,6,1,,A,1067,G,150,D
20181,03692363,22,7,1,,A,544,G,160,D
20181,03692363,22,8,1,,A,212,G,180,D
20181,03692363,22,9,1,,A,239,G,190,D
20181,03692933,26,0,1,1,D,,H,,A
20181,03692933,26,1,1,,A,36,E,120,D
20181,03692933,26,2,1,,A,15,E,140,D
20181,03692933,26,3,1,,A,176,E,150,D
20181,03692933,26,4,1,,A,33,E,190,D
20181,03693513,34,0,1,1,D,,H,,A
20181,03693513,34,1,1,,A,91,E,100,D
20181,03693513,34,2,1,,A,71,E,110,D
20181,03693513,34,3,1,,A,52,E,120,D
20181,03693513,34,4,1,,A,216,E,130,D
20181,03693513,34,5,1,,A,22,E,140,D
20181,03693513,34,6,1,,A,250,E,150,D
20181,03693513,34,7,1,,A,48,E,190,D
20181,03693553,17,0,1,2,D,,H,,A
20181,03693553,17,1,1,,A,8,E,100,D
20181,03693553,17,2,1,,A,2,E,110,D
20181,03693553,17,3,1,,A,2,E,120,D
20181,03693553,17,4,1,,A,33,E,150,D
20181,03693553,17,5,1,,A,1,E,160,D
20181,03693553,17,6,1,,A,2,E,170,D
20181,03693553,17,7,1,,A,2,E,190,D
20181,03694733,25,0,1,1,D,,H,,A
20181,03694733,25,1,1,,A,85,E,100,D
20181,03694733,25,2,1,,A,15,E,110,D
20181,03696253,6,0,1,1,D,,H,,A
20181,03696253,6,1,1,,A,22,E,100,D
20181,03696253,6,2,1,,A,8,E,110,D
20181,03696703,17,0,1,1,D,,H,,A
20181,03696703,17,1,1,,A,3,E,100,D
20181,03696703,17,2,1,,A,1,E,110,D
20181,03696703,17,3,1,,A,6,E,120,D
20181,03696703,17,4,1,,A,16,E,150,D
20181,03696703,17,5,1,,A,8,E,160,D
20181,03696703,17,6,1,,A,3,E,180,D
20181,03696703,17,7,1,,A,3,E,190,D
20181,03696893,17,0,1,1,D,,H,,A
20181,03696893,17,1,1,,A,16,E,100,D
20181,03696893,17,2,1,,A,5,E,110,D
20181,03696893,17,3,1,,A,17,E,120,D
20181,03696893,17,4,1,,A,6,E,140,D
20181,03696893,17,5,1,,A,95,E,150,D
20181,03696893,17,6,1,,A,1,E,160,D
20181,03696893,17,7,1,,A,10,E,190,D
20181,03697063,32,0,1,1,D,,H,,A
20181,03697063,32,1,1,,A,15,E,120,D
20181,03697063,32,2,1,,A,3,E,140,D
20181,03697063,32,3,1,,A,173,E,150,D
20181,03697063,32,4,1,,A,5,E,160,D
20181,03697063,32,5,1,,A,13,E,170,D
20181,03697063,32,6,1,,A,11,E,190,D
20181,03697513,13,0,1,1,D,,H,,A
20181,03697513,13,1,1,,A,58,E,100,D
20181,03697513,13,2,1,,A,22,E,110,D
20181,03697793,28,0,1,2,D,,H,,A
20181,03697793,28,1,1,,A,15,E,100,D
20181,03697793,28,2,1,,A,4,E,110,D
20181,03697793,28,3,1,,A,14,E,120,D
20181,03697793,28,4,1,,A,2,E,140,D
20181,03697793,28,5,1,,A,65,E,150,D
20181,03697793,28,6,1,,A,33,E,160,D
20181,03697793,28,7,1,,A,13,E,180,D
20181,03697793,28,8,1,,A,14,E,190,D
20181,03698363,22,0,1,1,D,,H,,A
20181,03698363,22,1,1,,A,23,E,100,D
20181,03698363,22,2,1,,A,9,E,200,D
20181,03698363,22,3,1,,A,18,E,210,D
20181,03698853,23,0,1,1,D,,H,,A
20181,03698853,23,1,1,,A,134,E,100,D
20181,03698853,23,2,1,,A,113,E,110,D
20181,03698853,23,3,1,,A,80,E,120,D
20181,03698853,23,4,1,,A,34,E,140,D
20181,03698853,23,5,1,,A,385,E,150,D
20181,03698853,23,6,1,,A,74,E,190,D
20181,03700363,25,0,1,1,D,,H,,A
20181,03700363,25,1,1,,A,41,E,100,D
20181,03700363,25,2,1,,A,30,E,110,D
20181,03700363,25,3,1,,A,22,E,120,D
20181,03700363,25,4,1,,A,92,E,130,D
20181,03700363,25,5,1,,A,9,E,140,D
20181,03700363,25,6,1,,A,106,E,150,D
20181,03700363,25,7,1,,A,20,E,190,D
20181,03700923,15,0,1,1,D,,H,,A
20181,03700923,15,1,1,,A,15,E,100,D
20181,03700923,15,2,1,,A,5,E,110,D
20181,03701103,17,0,1,1,D,,H,,A
20181,03701103,17,1,1,,A,33,E,200,D
20181,03701103,17,2,1,,A,67,E,210,D
20181,03701693,23,0,1,1,D,,H,,A
20181,03701693,23,1,1,,A,81,E,100,D
20181,03701693,23,2,1,,A,55,E,110,D
20181,03701693,23,3,1,,A,44,E,120,D
20181,03701693,23,4,1,,A,7,E,140,D
20181,03701693,23,5,1,,A,425,E,150,D
20181,03701693,23,6,1,,A,50,E,170,D
20181,03701693,23,7,1,,A,38,E,190,D
20181,03702343,54,0,1,1,D,,H,,A
20181,03702343,54,1,1,,A,77,E,100,D
20181,03702343,54,2,1,,A,14,E,110,D
20181,03702343,54,3,1,,A,21,E,120,D
20181,03702343,54,4,1,,A,175,E,130,D
20181,03702343,54,5,1,,A,1,E,140,D
20181,03702343,54,6,1,,A,177,E,150,D
20181,03702343,54,7,1,,A,11,E,160,D
20181,03702343,54,8,1,,A,24,E,190,D
20181,03713713,34,0,1,1,D,,H,,A
20181,03713713,34,1,1,,A,14,E,100,D
20181,03713713,34,2,1,,A,11,E,120,D
20181,03713713,34,3,1,,A,30,E,130,D
20181,03713713,34,4,1,,A,4,E,140,D
20181,03713713,34,5,1,,A,325,E,150,D
20181,03713713,34,6,1,,A,5,E,200,D
20181,03713713,34,7,1,,A,11,E,210,D
20181,03714253,19,0,1,1,D,,H,,A
20181,03714253,19,1,1,,A,54,E,100,D
20181,03714253,19,2,1,,A,37,E,110,D
20181,03714253,19,3,1,,A,32,E,120,D
20181,03714253,19,4,1,,A,158,E,130,D
20181,03714253,19,5,1,,A,5,E,140,D
20181,03714253,19,6,1,,A,287,E,150,D
20181,03714253,19,7,1,,A,34,E,170,D
20181,03714253,19,8,1,,A,25,E,190,D
20181,03715213,19,0,1,1,D,,H,,A
20181,03715213,19,1,1,,A,10,E,100,D
20181,03715213,19,2,1,,A,7,E,110,D
20181,03715213,19,3,1,,A,5,E,120,D
20181,03715213,19,4,1,,A,58,E,150,D
20181,03715213,19,5,1,,A,6,E,170,D
20181,03715213,19,6,1,,A,4,E,190,D
20181,03716273,36,0,1,1,D,,H,,A
20181,03716273,36,1,1,,A,5,E,120,D
20181,03716273,36,2,1,,A,3,E,140,D
20181,03716273,36,3,1,,A,60,E,150,D
20181,03716273,36,4,1,,A,7,E,170,D
20181,03716273,36,5,1,,A,5,E,190,D
20181,03717973,14,0,1,1,D,,H,,A
20181,03717973,14,1,1,,A,65,E,100,D
20181,03717973,14,2,1,,A,53,E,110,D
20181,03717973,14,3,1,,A,43,E,120,D
20181,03717973,14,4,1,,A,16,E,140,D
20181,03717973,14,5,1,,A,187,E,150,D
20181,03717973,14,6,1,,A,36,E,190,D
20181,03720463,50,0,1,8,D,,H,,A
20181,03720463,50,1,1,,A,127,E,100,D
20181,03720463,50,2,1,,A,23,E,110,D
20181,03722113,54,0,1,1,D,,H,,A
20181,03722113,54,1,1,,A,21,E,100,D
20181,03722113,54,2,1,,A,6,E,110,D
20181,03722113,54,3,1,,A,14,E,120,D
20181,03722113,54,4,1,,A,32,E,130,D
20181,03722113,54,5,1,,A,8,E,140,D
20181,03722113,54,6,1,,A,88,E,150,D
20181,03722113,54,7,1,,A,45,E,160,D
20181,03722113,54,8,1,,A,17,E,180,D
20181,03722113,54,9,1,,A,19,E,190,D
20181,03722533,84,0,1,1,D,,H,,A
20181,03722533,84,1,1,,A,6,E,120,D
20181,03722533,84,2,1,,A,2,E,140,D
20181,03722533,84,3,1,,A,36,E,150,D
20181,03722533,84,4,1,,A,6,E,190,D
20181,03723113,30,0,1,1,D,,H,,A
20181,03723113,30,1,1,,A,128,E,100,D
20181,03723113,30,2,1,,A,22,E,110,D
20181,03723113,30,3,1,,A,34,E,120,D
20181,03723113,30,4,1,,A,281,E,130,D
20181,03723113,30,5,1,,A,2,E,140,D
20181,03723113,30,6,1,,A,276,E,150,D
20181,03723113,30,7,1,,A,18,E,160,D
20181,03723113,30,8,1,,A,39,E,190,D
20181,03723583,48,0,1,2,D,,H,,A
20181,03723583,48,1,1,,A,95,E,100,D
20181,03723583,48,2,1,,A,45,E,110,D
20181,03735373,29,0,1,1,D,,H,,A
20181,03735373,29,1,1,,A,23,E,100,D
20181,03735373,29,2,1,,A,5,E,110,D
20181,03735373,29,3,1,,A,13,E,120,D
20181,03735373,29,4,1,,A,3,E,140,D
20181,03735373,29,5,1,,A,81,E,150,D
20181,03735373,29,6,1,,A,41,E,160,D
20181,03735373,29,7,1,,A,16,E,180,D
20181,03735373,29,8,1,,A,18,E,190,D
20181,03737743,38,0,1,1,D,,H,,A
20181,03737743,38,1,1,,A,1,E,120,D
20181,03737743,38,2,1,,A,3,E,140,D
20181,03737743,38,3,1,,A,7,E,150,D
20181,03737743,38,4,1,,A,4,E,160,D
20181,03737743,38,5,1,,A,1,E,180,D
20181,03737743,38,6,1,,A,1,E,190,D
20181,03738493,33,0,1,1,D,,H,,A
20181,03738493,33,1,1,,A,237,E,100,D
20181,03738493,33,2,1,,A,42,E,110,D
20181,03738493,33,3,1,,A,64,E,120,D
20181,03738493,33,4,1,,A,527,E,130,D
20181,03738493,33,5,1,,A,4,E,140,D
20181,03738493,33,6,1,,A,518,E,150,D
20181,03738493,33,7,1,,A,34,E,160,D
20181,03738493,33,8,1,,A,74,E,190,D
20181,03739693,13,0,1,2,D,,H,,A
20181,03739693,13,1,1,,A,187,E,120,D
20181,03739693,13,2,1,,A,12,E,140,D
20181,03739693,13,3,1,,A,1496,E,150,D
20181,03739693,13,4,1,,A,99,E,160,D
20181,03739693,13,5,1,,A,220,E,190,D
20181,03739693,13,6,1,,A,324,E,200,D
20181,03739693,13,7,1,,A,588,E,210,D
20181,03739693,13,8,1,,A,74,E,220,D
20181,03740403,18,0,1,1,D,,H,,A
20181,03740403,18,1,1,,A,31,E,100,D
20181,03740403,18,2,1,,A,9,E,110,D
20181,03741813,46,0,1,1,D,,H,,A
20181,03741813,46,1,1,,A,781,E,100,D
20181,03741813,46,2,1,,A,231,E,110,D
20181,03741813,46,3,1,,A,1188,E,130,D
20181,03742593,32,0,1,2,D,,H,,A
20181,03742593,32,1,1,,A,36,E,100,D
20181,03742593,32,2,1,,A,14,E,110,D
20181,03744473,46,0,1,1,D,,H,,A
20181,03744473,46,1,1,,A,37,E,100,D
20181,03744473,46,2,1,,A,6,E,110,D
20181,03744473,46,3,1,,A,10,E,120,D
20181,03744473,46,4,1,,A,85,E,130,D
20181,03744473,46,5,1,,A,84,E,150,D
20181,03744473,46,6,1,,A,5,E,160,D
20181,03744473,46,7,1,,A,12,E,190,D
20181,03744473,46,8,1,,A,24,E,200,D
20181,03744473,46,9,1,,A,33,E,210,D
20181,03744473,46,10,1,,A,4,E,220,D
20181,03756172,53,0,1,4,D,,H,,A
20181,03756172,53,1,1,,A,98,E,100,D
20181,03756172,53,2,1,,A,27,E,110,D
20181,03756172,53,3,1,,A,61,E,120,D
20181,03756172,53,4,1,,A,15,E,140,D
20181,03756172,53,5,1,,A,387,E,150,D
20181,03756172,53,6,1,,A,198,E,160,D
20181,03756172,53,7,1,,A,77,E,180,D
20181,03756172,53,8,1,,A,87,E,190,D
20181,03756262,21,0,1,2,D,,H,,A
20181,03756262,21,1,1,,A,131,E,100,D
20181,03756262,21,2,1,,A,109,E,120,D
20181,03756262,21,3,1,,A,276,E,130,D
20181,03756262,21,4,1,,A,43,E,140,D
20181,03756262,21,5,1,,A,2941,E,150,D
20181,03757393,16,0,1,1,D,,H,,A
20181,03757393,16,1,1,,A,37,E,100,D
20181,03757393,16,2,1,,A,13,E,110,D
20181,03759402,14,0,1,3,D,,H,,A
20181,03759402,14,1,1,,A,20,E,120,D
20181,03759402,14,2,1,,A,73,E,130,D
20181,03759402,14,3,1,,A,7,E,140,D
20181,03759402,14,4,1,,A,84,E,150,D
20181,03759402,14,5,1,,A,16,E,190,D
20181,03759662,28,0,1,2,D,,H,,A
20181,03759662,28,1,1,,A,410,E,100,D
20181,03759662,28,2,1,,A,337,E,110,D
20181,03759662,28,3,1,,A,244,E,120,D
20181,03759662,28,4,1,,A,107,E,140,D
20181,03759662,28,5,1,,A,1174,E,150,D
20181,03759662,28,6,1,,A,228,E,190,D
20181,03760422,24,0,1,2,D,,H,,A
20181,03760422,24,1,1,,A,162,E,100,D
20181,03760422,24,2,1,,A,135,E,110,D
20181,03760422,24,3,1,,A,403,E,130,D
20181,03760532,62,0,1,2,D,,H,,A
20181,03760532,62,1,1,,A,57,E,100,D
20181,03760532,62,2,1,,A,18,E,110,D
20181,03760712,31,0,1,3,D,,H,,A
20181,03760712,31,1,1,,A,103,E,100,D
20181,03760712,31,2,1,,A,83,E,110,D
20181,03760712,31,3,1,,A,250,E,130,D
20181,03760712,31,4,1,,A,55,E,200,D
20181,03760712,31,5,1,,A,109,E,210,D
20181,03760752,26,0,1,6,D,,H,,A
20181,03760752,26,1,1,,A,120,E,100,D
20181,03760752,26,2,1,,A,35,E,110,D
20181,03760752,26,3,1,,A,79,E,120,D
20181,03760752,26,4,1,,A,183,E,130,D
20181,03760752,26,5,1,,A,24,E,140,D
20181,03760752,26,6,1,,A,496,E,150,D
20181,03760752,26,7,1,,A,254,E,160,D
20181,03760752,26,8,1,,A,98,E,180,D
20181,03760752,26,9,1,,A,111,E,190,D
20181,03762522,31,0,1,1,D,,H,,A
20181,03762522,31,1,1,,A,34,E,100,D
20181,03762522,31,2,1,,A,10,E,110,D
20181,03762522,31,3,1,,A,27,E,120,D
20181,03762522,31,4,1,,A,52,E,130,D
20181,03762522,31,5,1,,A,5,E,140,D
20181,03762522,31,6,1,,A,141,E,150,D
20181,03762522,31,7,1,,A,72,E,160,D
20181,03762522,31,8,1,,A,28,E,180,D
20181,03762522,31,9,1,,A,31,E,190,D
20181,03762622,31,0,1,4,D,,H,,A
20181,03762622,31,1,1,,A,11,E,200,D
20181,03762622,31,2,1,,A,17,E,210,D
20181,03762622,31,3,1,,A,2,E,220,D
20181,03763312,19,0,1,1,D,,H,,A
20181,03763312,19,1,1,,A,36,E,100,D
20181,03763312,19,2,1,,A,24,E,110,D
20181,03764072,32,0,1,1,D,,H,,A
20181,03764072,32,1,1,,A,85,E,100,D
20181,03764072,32,2,1,,A,15,E,110,D
20181,03765064,31,0,1,1,D,,H,,A
20181,03765064,31,1,1,,A,108,E,100,D
20181,03765064,31,2,1,,A,20,E,110,D
20181,03765064,31,3,1,,A,30,E,120,D
20181,03765064,31,4,1,,A,245,E,130,D
20181,03765064,31,5,1,,A,2,E,140,D
20181,03765064,31,6,1,,A,245,E,150,D
20181,03765064,31,7,1,,A,16,E,160,D
20181,03765064,31,8,1,,A,34,E,190,D
20181,03766032,21,0,1,1,D,,H,,A
20181,03766032,21,1,1,,A,59,E,100,D
20181,03766032,21,2,1,,A,41,E,110,D
20181,03766042,47,0,1,1,D,,H,,A
20181,03766042,47,1,1,,A,10,E,100,D
